municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
310150;ALEM PARAIBA;2018-09-03;9;2018;4º RISP - Juiz de Fora;3) Interior de MG;CONSUMADO;1
315780;SANTA LUZIA;2018-09-04;9;2018;3º RISP - Vespasiano;2) RMBH (sem BH);CONSUMADO;1
316553;SARZEDO;2018-09-05;9;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
311940;CORONEL FABRICIANO;2018-09-06;9;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;2
311340;CARATINGA;2018-09-06;9;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
313620;JOAO MONLEVADE;2018-09-07;9;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
313670;JUIZ DE FORA;2018-09-07;9;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
315670;SABARA;2018-09-07;9;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
311260;CAPINOPOLIS;2018-09-07;9;2018;9º RISP - Uberlândia;3) Interior de MG;CONSUMADO;1
314400;MUTUM;2018-09-07;9;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-09-08;9;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;2
315780;SANTA LUZIA;2018-09-10;9;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
310670;BETIM;2018-09-11;9;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
312230;DIVINOPOLIS;2018-09-12;9;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-09-12;9;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
310620;BELO HORIZONTE;2018-09-13;9;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
311860;CONTAGEM;2018-09-13;9;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
313840;LEOPOLDINA;2018-09-13;9;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
314710;PARA DE MINAS;2018-09-13;9;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
315180;POCOS DE CALDAS;2018-09-13;9;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;1
315670;SABARA;2018-09-13;9;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
315600;RIO VERMELHO;2018-09-13;9;2018;8º RISP - Governador Valadares;3) Interior de MG;CONSUMADO;1
312870;GUAXUPE;2018-09-14;9;2018;18º RISP - Poços de Caldas;3) Interior de MG;CONSUMADO;1
313510;JANAUBA;2018-09-15;9;2018;11º RISP - Montes Claros;3) Interior de MG;CONSUMADO;1
314330;MONTES CLAROS;2018-09-16;9;2018;11º RISP - Montes Claros;3) Interior de MG;CONSUMADO;1
317020;UBERLANDIA;2018-09-17;9;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;1
314810;PATROCINIO;2018-09-18;9;2018;10º RISP - Patos de Minas;3) Interior de MG;CONSUMADO;1
310670;BETIM;2018-09-19;9;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
314990;PERDOES;2018-09-20;9;2018;6º RISP - Lavras;3) Interior de MG;TENTADO;1
317020;UBERLANDIA;2018-09-20;9;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;1
313350;ITAPECERICA;2018-09-22;9;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
314520;NOVA SERRANA;2018-09-22;9;2018;7º RISP - Divinópolis;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-09-23;9;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
310940;BURITIZEIRO;2018-09-23;9;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
312260;DOM JOAQUIM;2018-09-23;9;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
